,midias
300,tulio gadelha
301,wolney queiroz
302,assis carvalho
303,atila lira
304,capitao fabio abreu
305,dra. marina
306,flavio nogueira
307,iracema portella
308,julio cesar
309,marcos aurelio sampaio
310,margarete coelho
311,rejane dias
312,alessandro molon
313,alexandre serfiotis
314,altineu cortes
315,aureo
316,benedita da silva
317,carlos jordy
318,chico d angelo
319,chiquinho brazao
320,chris tonietto
321,christino aureo
322,clarisse garotinho
323,daniel silveira
324,daniela do waguinho
325,delegado antonio furtado
326,dr. luizinho
327,felicio laterca
328,flordelis
329,gelson azevedo
330,glauber braga
331,gutemberg reis
332,helio fernando barbosa lopes
333,hugo leal
334,jandira feghali
335,david miranda
336,juninho do pneu
337,lourival gomes
338,luiz antonio
339,luiz lima
340,major fabiana
341,marcelo calero
342,marcelo freixo
343,marcio labre
344,otoni de paula
345,paulo ganime
346,paulo ramos
347,pedro paulo
348,professor joziel
349,rodrigo maia
350,rosangela gomes
351,sargento gurgel
352,soraya santos
353,sostenes
354,taliria petrone
355,vinicius farah
356,jorge braz
357,wladimir garotinho
358,rio grande do norte
359,benes leocadio
360,fabio faria
361,general girao
362,joao maia
363,beto rosado
364,natalia bonavides
365,rafael motta
366,walter alves
367,rio grande do sul
368,afonso hamm
369,afonso motta
370,alceu moreira
371,bibo nunes
372,bohn gass
373,carlos gomes
374,covatti filho
375,daniel da tv
376,danrlei de deus goleiro
377,fernanda melchionna
378,giovani cherini
379,giovani feltes
380,heitor schuch
381,henrique fontana
382,jeronimo goergen
383,liziane bayer
384,lucas redecker
385,marcel van hattem
386,marcelo moraes
387,marcio biolchi
388,marcon
389,maria do rosario
390,marlon santos
391,mauricio dziedricki
392,nereu crispin
393,onyx lorenzoni
394,osmar terra
395,paulo pimenta
396,pedro westphalen
397,pompeo de mattos
398,sanderson federal
399,coronel chrisostomo
400,dr. mauro nazif
401,expedito netto
402,jaqueline cassol
403,leo moraes
404,lucio mosquini
405,mariana carvalho
406,silvia cristina
407,dr. hiran goncalves
408,edio lopes
409,haroldo cathedral
410,jhonatan de jesus
411,joenia wapichana
412,nicoletti
413,otaci
414,sheridan
415,santa catarina
416,angela amin
417,carlos chiodini
418,carmen zanotto
419,caroline de toni
420,celso maldaner
421,coronel armando
422,daniel freitas
423,darci de matos
424,fabio schiochet
425,geovania de sa
426,gilson marques
427,helio costa
428,peninha
429,professor pedro uczai
430,ricardo guidi
431,rodrigo coelho
432,abou anni
433,adriana ventura
434,alencar santana
435,alex manente
436,alexandre frota
437,alexandre leite
438,alexandre padilha
439,alexis
440,arlindo chinaglia
441,arnaldo jardim
442,baleia rossi
443,bruna furlan
444,capitao augusto
445,carla zambelli
446,carlos sampaio
447,carlos zarattini
448,celso russomano
449,cezinha de madureira
450,coronel tadeu
451,david soares
452,eduardo bolsonaro
453,eduardo cury
454,eli correa filho
455,enrico misasi
456,fausto pinato
457,general peternelli
458,geninho zuliani
459,gilberto nascimento
460,guiga peixoto
461,guilherme mussi
462,herculano passos
463,ivan valente
464,jefferson campos
465,joice hasselmann
466,junior bozzella
467,kim kataguiri
468,luiz carlos motta
469,luiz philippe o. braganca
470,luiza erundina
471,marcio alvino
472,marco bertaiolli
473,marcos pereira
474,maria rosas
475,miguel lombardi
476,milton vieira
477,nilto tatto
478,orlando silva
479,pastor marco feliciano
480,paulinho da forca
481,paulo freire costa
482,paulo teixeira
483,policial katia sastre
484,professor luiz flavio gomes
485,renata abreu
486,ricardo izar
487,roberto alves
488,roberto de lucena
489,rodrigo agostinho
490,rosana valle
491,rui falcao
492,samia bomfim
493,samuel moreira
494,tabata amaral
495,tenente derrite
496,tiririca
497,vanderlei macris
498,vicentinho
499,vinicius carvalho
500,vinicius poit
501,vitor lippi
502,bosco costa
503,fabio henrique
504,fabio mitidieri
505,fabio reis
506,gustinho ribeiro
507,joao daniel
508,laercio oliveira
509,valdevan noventa
510,carlos henrique gaguim
511,celio moura
512,dulce miranda
513,eli borges
514,osires damaso
515,professora dorinha
516,tiago dimas
517,vicentinho junior
