,midias
0,alan rick
1,dra. vanda milani
2,flaviano melo
3,jessica sales
4,jesus sergio
5,mara rocha
6,pastor manuel marcos
7,arthur lira
8,isnaldo bulhoes
9,jhc
10,marx beltrao
11,nivaldo albuquerque
12,paulao
13,sergio toledo
14,severino pessoa
15,tereza nelma
16,acacio favacho
17,aline gurgel
18,andre abdon
19,camilo capiberibe
20,leda sadala
21,luiz carlos
22,professora marcivania
23,vinicius
24,amazonas
25,atila lins
26,bosco saraiva
27,capitao alberto neto
28,delegado pablo
29,jose ricardo
30,marcelo ramos
31,sidney leite
32,silas camara
33,adolfo viana
34,afonso florence
35,alex santana
36,alice portugal
37,antonio brito
38,arthur maia
39,bacelar
40,caca leao
41,charles fernandes 
42,claudio cajado
43,daniel almeida
44,elmar
45,felix mendonca
46,igor kannario
47,joao bacelar
48,joao roma
49,jorge solla
50,jose nunes
51,jose rocha
52,josias gomes
53,leur lomanto jr
54,lidice da mata
55,marcelo nilo
56,marcio marinho
57,mario negromonte jr
58,otto alencar filho
59,pastor abilio santana
60,pastor sargento isidorio
61,paulo azi
62,pelegrino
63,prof. dayane pimentel
64,raimundo costa
65,ronaldo carletto
66,sergio brito
67,tito
68,uldurico junior
69,valmir assuncao
70,waldenor pereira
71,ze neto
72,aj albuquerque
73,andre figueiredo
74,capitao wagner
75,celio studart
76,denis bezerra
77,domingos neto
78,dr. jaziel
79,eduardo bismarck
80,genecias noronha
81,guimaraes
82,heitor freire
83,idilvan
84,jose airton
85,junior mano
86,leonidas cristino
87,luizianne
88,mauro filho
89,moses rodrigues
90,pedro bezerra
91,roberio monteiro
92,roberto pessoa
93,vaidon oliveira
94,bia kicis
95,celina leao
96,erika kokay
97,flavia arruda
98,julio cesar
99,luis miranda
100,paula belmonte
101,professor israel
102,amaro neto
103,da vitoria
104,dra. soraya manato
105,evair de melo
106,felipe rigoni
107,foletto
108,helder salomao
109,lauriete
110,norma ayub
111,sergio vidigal
112,adriano do baldy
113,alcides rodrigues
114,celio silveira
115,delegado waldir
116,dr. zacarias calil
117,elias vaz
118,flavia morais
119,francisco jr
120,glaustin da fokus
121,joao campos
122,jose nelto
123,lucas vergilio
124,magda mofatto
125,major vitor hugo
126,professor alcides
127,rubens otoni
128,ze mario
129,aluisio mendes
130,andre fufuca
131,bira do pindare
132,cleber verde
133,edilazio
134,eduardo braide
135,gil cutrim
136,hildo rocha
137,joao marcelo
138,josimar maranhaozinho
139,junior lourenco
140,junior marreca filho
141,juscelino filho
142,marcio jerry
143,pastor gildenemyr
144,pedro lucas fernandes
145,rubens junior
146,ze carlos
147,carlos bezerra
148,dr leonardo
149,emanuelzinho
150,jose medeiros
151,juarez costa
152,nelson barbudo
153,neri geller
154,professora rosa neide
155,mato grosso do sul
156,beto pereira
157,dagoberto
158,dr. luiz ovando
159,fabio trad
160,rose modesto
161,tereza cristina
162,tio trutis
163,vander loubet
164,minas gerais
165,aecio neves
166,ale silva
167,andre janones
168,aurea carolina
169,bilac pinto
170,cabo junio amaral
171,charlles evangelista
172,delegado marcelo freitas
173,diego andrade
174,dimas fabiano
175,domingos savio
176,doutor frederico
177,dr. mario heringer
178,eduardo barbosa
179,emidinho madeira
180,eros biondini
181,euclydes pettersen
182,fabio ramalho
183,franco cartafina
184,fred costa
185,gilberto abramo
186,greyce elias
187,hercilio coelho diniz
188,igor timo
189,julio delgado
190,lafayette andrada
191,leo motta
192,leonardo monteiro
193,lincoln portela
194,lucas gonzalez
195,luis tibe
196,marcelo alvaro antonio
197,marcelo aro
198,margarida salomao
199,mauro lopes
200,misael varella
201,newton cardoso jr
202,odair cunha
203,padre joao
204,patrus ananias
205,paulo abi ackel
206,paulo guedes
207,pinheirinho
208,reginaldo lopes
209,rodrigo de castro
210,rogerio correia
211,stefano aguiar
212,subtenente gonzaga
213,tiago mitraud
214,vilson da fetaemg
215,weliton prado
216,ze silva
217,ze vitor
218,airton faleiro
219,beto faro
220,cassio andrade
221,celso sabino
222,cristiano vale
223,delegado eder mauro
224,edmilson rodrigues
225,eduardo costa
226,elcione
227,helio leite
228,joaquim passarinho
229,junior ferrari
230,nilson pinto
231,olival marques
232,paulo bengtson
233,priante
234,vava martins
235,aguinaldo ribeiro
236,dr damiao
237,edna henrique
238,efraim filho
239,frei anastacio
240,gervasio maia
241,hugo
242,julian lemos
243,pedro cunha lima
244,ruy carneiro
245,wellington roberto
246,wilson santiago
247,aliel machado
248,aline sleutjes
249,aroldo martins
250,boca aberta
251,christiane yared
252,diego garcia
253,enio verri
254,felipe francischini
255,filipe barros
256,giacobo
257,gleisi lula
258,gustavo fruet
259,hermes frangao parcianello
260,leandre
261,luciano ducci
262,luisa canziani
263,luiz nishimori
264,luizao goulart
265,ney leprevost
266,paulo martins
267,pedro lupion
268,ricardo barros
269,rubens bueno
270,sandro alex
271,sargento fahur
272,schiavinato
273,sergio souza
274,toninho wandscheer
275,vermelho
276,zeca dirceu
277,andre de paula
278,andre ferreira
279,augusto coutinho
280,bispo ossesio
281,carlos veras
282,daniel coelho
283,danilo cabral
284,eduardo da fonte
285,felipe carreras
286,fernando filho
287,fernando monteiro
288,fernando rodolfo
289,gonzaga patriota
290,joao campos
291,luciano bivar
292,marilia arraes
293,pastor eurico
294,raul henry
295,renildo calheiros
296,ricardo teobaldo
297,sebastiao oliveira
298,silvio costa filho
299,tadeu alencar
