ID,Incomplete,Demand-Type,Demand-Unit,Demand-Offset,Demand-Directional,LS1-Family,LS1-Theta_0,LS1-Theta_1,LS1-DamageStateWeights
BP.Hazus.shaking.brittle,0,Peak Ground Velocity,cmps,0,0,lognormal,2500,1.48,0.8 | 0.2
BP.Hazus.shaking.ductile,0,Peak Ground Velocity,cmps,0,0,lognormal,6833,1.63,0.8 | 0.2
