,midias
0,renova midia
1,pheno news
2,jornal da cidade online
3,pavao misterioso
4,terca livre
5,diario on line
6,gazeta informante
7,diario do brasil
8,expresso diario
9,notibras
10,br noticias
11,canal gama
12,riachuelo em acao
13,opiniao critica
14,jornal 21 brasil
15,grande ponto
16,presidente bolsonaro
17,agora noticias brasil
18,imprensa viva
19,republica de curitiba
20,o alerta
21,1news
22,folha politica
23,seu mizuka
24,portal br7
25,verdade estampada
26,critica news
27,canal gama
28,gazeta brasil
29,ibuzz online
30,jacare de tanga
31,senso incomum
32,vista patria
33,brunojonssen
34,caneta
35,critica nacional
36,folha do brasil
37,folha da politica
38,questione-se
39,"bombeiros df,"
40,o delator site
41,jornal do pais
42,noticias politica br
43,escapuliu
44,canal do ferreira
45,midia mix
46,diario patriota
47,informa brasil tv
48,canal noticias da hora
49,df mobilidade
50,canal kim paim
51,portal novo norte
52,terra brasil noticias
53,noticias news n.n
54,diario patriota
