,Unnamed: 0,governadores
0,0,gladson cameli
1,1,renan filho
2,2,waldez goes
3,3,jaime nunes
4,4,wilson lima
5,5,rui costa
6,6,camilo santana
7,7,ibaneis rocha
8,8,renato casagrande
9,9,ronaldo caiado
10,10,flavio dino
11,11,mauro mendes
12,12,reinaldo azambuja
13,13,murilo zauith
14,14,romeu zema
15,15,helder barbalho
16,16,joao azevedo
17,17,ratinho junior
18,18,paulo camara
19,19,luciana santos
20,20,wellington dias
21,21,regina sousa
22,22,claudio castro
23,23,fatima bezerra
24,24,eduardo leite
25,25,marcos rocha
26,26,antonio denarium
27,27,carlos moises
28,28,joao doria
29,29,belivaldo chagas
30,30,eliane aquino
31,31,mauro carlesse
32,32,wanderlei barbosa
33,33,wilson witzel
