,ner_name,names
0,vac,"['vachina', 'vacina chinasa', 'vacina xing ling', 'vacina do doria', 'coronavac', 'sputinik', 'vacina russa', 'johnson', 'covaxin', 'moderna', 'pfizer', 'pifizer', 'pifaizer']"
1,prod,"['respirador', 'respiradores', 'seringa', 'insumos', 'mascara', 'alcool', 'sabao', 'curativos', 'material de limpeza', 'luvas', 'epi', 'epis', 'toucas', 'pcr', 'swab', 'raio x', 'leito']"
2,med,"['hidroxicloroquina', 'cloroquina', 'ivermectina', 'vitamina d', 'vitamina c', 'anitta', 'azitromicina', 'ibuprofeno', 'adrenalina', 'zinco', 'plamas', 'heparina', 'anti coagulante', 'coquetel', 'kit tratamento precoce', 'tratamento precoce', 'pilula', 'comprimido', 'remedio', 'droga', 'remdesevir', 'tamiflu', 'medicamento', 'dipirona', 'paracetamol', 'analgesico', 'morfina', 'corticoide', 'bula']"
3,sint,"['febre', 'tosse', 'cansaço', 'fadiga', 'dores', 'sintomas', 'dor', 'diarreia', 'conjutivite', 'dor de cabeça', 'perda de paladar', 'perda de olfato', 'paladar', 'olfato', 'sentir cheiro', 'sentir sabor', 'dificuldade de respirar', 'falta de ar', 'gripal']"
4,doenca,"['covid', 'asma', 'pneumonia', 'doencas respiratorias', 'infeccao', 'tuberculose', 'gripe', 'resfriado', 'gripezinha', 'sinusite', 'renite', 'alergia', 'bronquite', 'degue', 'zika', 'chikungunya', 'malaria', 'parasitose', 'fibrose', 'artrite', 'arritmia', 'hipertencao', 'diabetes', 'insuficiencia cardiaca', 'infarto', 'doenca renal', 'cancer', 'doenca pulmonar', 'avc']"
5,partes_corpo,"['mao', 'braco', 'cabeca', 'joelho', 'articulacao', 'articulacoes', 'coracao', 'arterias', 'veia', 'veias', 'baco', 'figado', 'intestino', 'estomago', 'esofago', 'traqueia', 'pulmao', 'rins', 'vagina', 'penis', 'utero', 'ovarios', 'testiculos', 'faringe', 'laringe', 'epiglote', 'garganta', 'lingua', 'boca', 'esofago', 'nariz', 'nasofaringe', 'orofaringe', 'cerebro', 'neuronios', 'celula', 'celulas', 'hormonios', 'dedos', 'dedo', 'pe', 'pes', 'perna', 'pernas', 'bracos', 'musculo', 'musculos', 'dentes', 'dente', 'saliva', 'sangue', 'olho', 'olhos', 'peito', 'torax', 'sistema imune', 'leucocitos', 'celulas t', 'anticorpos', 'anti corpo', 'hormonio', 'imunidade', 'pele']"
6,sci,"['metanalise', 'meta analise', 'resultados', 'artigo', 'revista cientifica', 'revistas cientificas', 'nature', 'science', 'literatura', 'lancet', 'revisao de literatura', 'artigos', 'evidencias cientificas', 'publicacao cientifica', 'publicacoes cientificas', 'estudo', 'estudos']"
