,midias
0,walter souza braga netto
1,luiz eduardo ramos
2,ciro nogueira
3,andre mendonca
4,anderson gustavo torres
5,braga neto
6,teich
7,pazuello
8,queiroga
9,paulo guedes
10,guedes
11,walter braga netto
12,carlos alberto franco franca
13,nelson teich
14,eduardo pazuello
15,marcelo queiroga
16,jose levi mello
17,andre mendonca
18,bruno bianco
