,,,,DS1,,,DS2,,,DS3,,,DS4,,
,group name,unit,~delta total,deltaC,maxQ,minQ,deltaC,maxQ,minQ,deltaC,maxQ,minQ,deltaC,maxQ,minQ
B.10.31.001,Shear tab gravity conn.,Each,"40,000",,,,6360,20,5,4539.5,20,5,4452,20,5
B.10.31.011a,Column Base plates,Each,,,,,9755,20,5,9177,20,5,10717,20,5
B.10.31.011b,,Each,,,,,10155,20,5,9877,20,5,12117,20,5
B.10.31.011c,,Each,"100,000",,,,10755,20,5,10927,20,5,13867,20,5
B.10.31.021a,Column splices,Each,,,,,4670,20,5,3969,20,5,,,
B.10.31.021b,,Each,,,,,5070,20,5,4669,20,5,,,
B.10.31.021c,,Each,"55,000",,,,5670,20,5,5719,20,5,,,
B.10.33.001a,SCBF 1,Each,"70,000",18189.2,20,5,13775.2,20,5,14370.2,20,5,14370.2,20,5
B.10.33.001b,,Each,,18189.2,20,5,16283.7,20,5,17508.7,20,5,17508.7,20,5
B.10.33.001c,,Each,,18189.2,20,5,19397.4,20,5,21322.4,20,5,21322.4,20,5
B.10.33.002a,,Each,,17810.4,20,5,13622.4,20,5,13709.9,20,5,13709.9,20,5
B.10.33.002b,,Each,,17810.4,20,5,15005.5,20,5,16055.5,20,5,16055.5,20,5
B.10.33.002c,,Each,,17810.4,20,5,16931.1,20,5,18856.1,20,5,18856.1,20,5
B.10.33.003a,,Each,,18610.8,20,5,14987.8,20,5,15337.8,20,5,15337.8,20,5
B.10.33.003b,,Each,,18610.8,20,5,18541.5,20,5,19591.5,20,5,19591.5,20,5
B.10.33.003c,,Each,,18610.8,20,5,22917.7,20,5,24842.7,20,5,24842.7,20,5
B.10.33.011a,,Each,,17814.2,20,5,14008,20,5,14603,20,5,14603,20,5
B.10.33.011b,,Each,,17814.2,20,5,17124.4,20,5,18349.4,20,5,18349.4,20,5
B.10.33.011c,,Each,,14251.4,20,5,24032.5,20,5,26032.5,20,5,26032.5,20,5
B.10.33.012a,,Each,,13948.3,20,5,15452.7,20,5,15852.7,20,5,15852.7,20,5
B.10.33.012b,,Each,,13948.3,20,5,17605.5,20,5,19005.5,20,5,19005.5,20,5
B.10.33.012c,,Each,,13948.3,20,5,20486.7,20,5,22686.7,20,5,22686.7,20,5
B.10.33.013a,,Each,,14588.7,20,5,17197.3,20,5,17797.3,20,5,17797.3,20,5
B.10.33.013b,,Each,,14588.7,20,5,22183.1,20,5,23583.1,20,5,23583.1,20,5
B.10.33.013c,,Each,,14588.7,20,5,28265.2,20,5,30465.2,20,5,30465.2,20,5
B.10.33.021a,,Each,,14431.4,20,5,16189.1,20,5,16869.1,20,5,16869.1,20,5
B.10.33.021b,,Each,,14431.4,20,5,19930.7,20,5,21330.7,20,5,21330.7,20,5
B.10.33.021c,,Each,,14431.4,20,5,24392.5,20,5,26392.5,20,5,26392.5,20,5
B.10.33.022a,,Each,,14128.3,20,5,15632.7,20,5,15972.7,20,5,15972.7,20,5
B.10.33.022b,,Each,,14128.3,20,5,17845.5,20,5,19245.5,20,5,19245.5,20,5
B.10.33.022c,,Each,,14128.3,20,5,20726.7,20,5,22926.7,20,5,22926.7,20,5
B.10.33.023a,,Each,,14768.7,20,5,17497.3,20,5,18097.3,20,5,18097.3,20,5
B.10.33.023b,,Each,,14768.7,20,5,22783.1,20,5,24183.1,20,5,24183.1,20,5
B.10.33.023c,,Each,,7384.3,10,3,14432.6,10,3,15532.6,10,3,15532.6,10,3
B.10.33.031a,SCBF 2,Each,,7215.7,10,3,8094.5,10,3,8434.5,10,3,,,
B.10.33.031b,,Each,,7215.7,10,3,9965.3,10,3,10665.3,10,3,,,
B.10.33.031c,,Each,,7215.7,10,3,12196.3,10,3,13196.3,10,3,,,
B.10.33.032a,,Each,,7064.2,10,3,7816.3,10,3,7986.3,10,3,,,
B.10.33.032b,,Each,,7064.2,10,3,8922.8,10,3,9622.8,10,3,,,
B.10.33.032c,,Each,,7064.2,10,3,10363.3,10,3,11463.3,10,3,,,
B.10.33.033a,,Each,,7384.3,10,3,8748.6,10,3,9048.6,10,3,9048.6,10,3
B.10.33.033b,,Each,,7384.3,10,3,11391.5,10,3,12091.5,10,3,12091.5,10,3
B.10.33.033c,,Each,,22152.9,20,5,43297.9,20,5,46597.7,20,5,46597.7,20,5
B.10.33.041a,SCBF w double angle,Each,,21647.1,20,5,24708.2,20,5,25728.2,20,5,,,
B.10.33.041b,,Each,,21647.1,20,5,30886.5,20,5,32986.5,20,5,,,
B.10.33.041c,,Each,,14431.4,15,5,25524.7,15,5,27524.7,15,5,,,
B.10.33.042a,"SCBF w double angle 
Single diagonal",Each,,14128.3,15,5,15824.7,15,5,16164.7,15,5,,,
B.10.33.042b,,Each,,14128.3,15,5,18293.7,15,5,19693.7,15,5,,,
B.10.33.042c,,Each,,14128.3,7,3,21495,7,3,23695,7,3,,,
B.10.33.043a,"SCBF double angle 
with X brace",Each,,14768.7,7,3,17881.5,7,3,18481.5,7,3,,,
B.10.33.043b,,Each,,14768.7,7,3,23679.5,7,3,25079.5,7,3,,,
B.10.33.043c,,Each,,14768.7,7,3,30402,7,3,32601.8,7,3,,,
B.10.33.051a,OCBF,Each,,14251.4,7,3,16009.2,7,3,16689.2,7,3,,,
B.10.33.051b,,Each,,14251.4,7,3,19570.7,7,3,20970.7,7,3,,,
B.10.33.051c,,Each,,14251.4,7,3,24032.5,7,3,26032.5,7,3,,,
B.10.33.052a,,Each,,13948.3,7,3,15452.7,7,3,15852.7,7,3,,,
B.10.33.052b,,Each,,13948.3,7,3,17605.5,7,3,19005.5,7,3,,,
B.10.33.052c,,Each,,13948.3,7,3,20486.6,7,3,22686.6,7,3,,,
B.10.33.053a,,Each,,14588.7,7,3,17197.3,7,3,17797.3,7,3,,,
B.10.33.053b,,Each,,14588.7,7,3,22183.1,7,3,23583.1,7,3,,,
B.10.33.053c,,Each,,14588.7,7,3,28265.2,7,3,30465.2,7,3,,,
B.10.33.061a,,Each,,14431.4,7,3,16189.2,7,3,16869.2,7,3,,,
B.10.33.061b,,Each,,14431.4,7,3,19930.7,7,3,21330.7,7,3,,,
B.10.33.061c,,Each,,14431.4,7,3,24392.5,7,3,26392.5,7,3,,,
B.10.33.062a,,Each,,14128.3,7,3,15632.7,7,3,15972.7,7,3,,,
B.10.33.062b,,Each,,14128.3,7,3,17845.5,7,3,19245.5,7,3,,,
B.10.33.062c,,Each,,14128.3,7,3,20726.6,7,3,22926.6,7,3,,,
B.10.33.063a,,Each,,14768.7,7,3,17497.3,7,3,18097.3,7,3,,,
B.10.33.063b,,Each,,14768.7,7,3,22783.1,7,3,24183.1,7,3,,,
B.10.33.063c,,Each,,14768.7,7,3,28865.2,7,3,31065.2,7,3,,,
B.10.33.071a,"Braced frame
no seismic detailing",Each,,16189.2,7,3,,,,,,,,,
B.10.33.071b,,Each,,19930.7,7,3,,,,,,,,,
B.10.33.071c,,Each,,24392.5,7,3,,,,,,,,,
B.10.33.072a,,Each,,15632.7,7,3,,,,,,,,,
B.10.33.072b,,Each,,17845.5,7,3,,,,,,,,,
B.10.33.072c,,Each,,20726.6,7,3,,,,,,,,,
B.10.33.073a,,Each,,17497.3,7,3,,,,,,,,,
B.10.33.073b,,Each,,22783.1,7,3,,,,,,,,,
B.10.33.073c,,Each,,28865.2,7,3,,,,,,,,,
B.10.33.101a,BRB,Each,"100,000",22155.3,20,5,,,,,,,,,
B.10.33.101b,,Each,,29040.7,20,5,,,,,,,,,
B.10.33.101c,,Each,,37616.1,20,5,,,,,,,,,
B.10.33.111a,,Each,,20766.5,20,5,,,,,,,,,
B.10.33.111b,,Each,,25358.3,20,5,,,,,,,,,
B.10.33.111c,,Each,,30910.6,20,5,,,,,,,,,
B.10.35.001,Post-Northridge BC joint,Each,"45,000",6960,7,3,11720,7,3,11720,7,3,,,
B.10.35.002,,Each,always max?,7360,7,3,12960,7,3,12960,7,3,,,
B.10.35.011,,Each,,12000,7,3,20920,7,3,20920,7,3,,,
B.10.35.012,,Each,,12800,7,3,23400,7,3,23400,7,3,,,
B.10.35.021,,Each,,6960,7,3,11720,7,3,11720,7,3,,,
B.10.35.022,,Each,,7360,7,3,12960,7,3,12960,7,3,,,
B.10.35.031,,Each,,14000,7,3,20920,7,3,20920,7,3,,,
B.10.35.032,,Each,,14000,7,3,23400,7,3,23400,7,3,,,
B.10.35.041,Pre-Northridge BC joint,Each,"35,000?",4824,30,5,5424,30,5,5824,30,5,7040,30,5
B.10.35.042,,Each,always max?,5024,30,5,5824,30,5,5824,30,5,7040,30,5
B.10.35.051,,Each,,7032,30,5,7632,30,5,7552,30,5,9648,30,5
B.10.35.052,,Each,,7032,30,5,7632,30,5,9568,30,5,9648,30,5
B.10.35.061a,EBF Shear Link,Each,"70,000",33040,5,2,35440,5,2,45320,5,2,,,
B.10.35.061b,,Each,,33040,5,2,36640,5,2,50120,5,2,,,
B.10.35.062a,,Each,,33040,5,2,35440,5,2,50240,5,2,,,
B.10.35.062b,,Each,,33040,5,2,36640,5,2,56240,5,2,,,
B.10.41.001a,Concrete MF BC,Each,"60,000",8568,20,5,12992.8,20,5,15992.8,20,5,12992.8,20,5
B.10.41.001b,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,12992.8,20,5
B.10.41.002a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,13792.8,20,5
B.10.41.002b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,13792.8,20,5
B.10.41.003a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,13792.8,20,5
B.10.41.003b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,13792.8,20,5
B.10.41.011a,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,12992.8,20,5
B.10.41.011b,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,12992.8,20,5
B.10.41.012a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,13792.8,20,5
B.10.41.012b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,13792.8,20,5
B.10.41.013a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,13792.8,20,5
B.10.41.013b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,13792.8,20,5
B.10.41.021a,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,12992.8,20,5
B.10.41.021b,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,12992.8,20,5
B.10.41.022a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,13792.8,20,5
B.10.41.022b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,13792.8,20,5
B.10.41.023a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,13792.8,20,5
B.10.41.023b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,13792.8,20,5
B.10.41.031a,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,,,
B.10.41.031b,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,,,
B.10.41.032a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.032b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.033a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.033b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.041a,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,,,
B.10.41.041b,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,,,
B.10.41.042a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.042b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.043a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.043b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.051a,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,,,
B.10.41.051b,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,,,
B.10.41.052a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.052b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.053a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.053b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.061a,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,,,
B.10.41.061b,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,,,
B.10.41.062a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.062b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.063a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.063b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.071a,,Each,,8568,20,5,12992.8,20,5,,,,,,
B.10.41.071b,,Each,,8568,20,5,12992.8,20,5,,,,,,
B.10.41.072a,,Each,,8568,20,5,13792.8,20,5,,,,,,
B.10.41.072b,,Each,,8568,20,5,13792.8,20,5,,,,,,
B.10.41.073a,,Each,,8568,20,5,13792.8,20,5,,,,,,
B.10.41.073b,,Each,,8568,20,5,13792.8,20,5,,,,,,
B.10.41.081a,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,,,
B.10.41.081b,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,,,
B.10.41.082a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.082b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.083a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.083b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.091a,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,,,
B.10.41.091b,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,,,
B.10.41.092a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.092b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.093a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.093b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.101a,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,,,
B.10.41.101b,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,,,
B.10.41.102a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.102b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.103a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.103b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.111a,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,,,
B.10.41.111b,,Each,,8568,20,5,12992.8,20,5,15992.8,20,5,,,
B.10.41.112a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.112b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.113a,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.113b,,Each,,8568,20,5,13792.8,20,5,16392.8,20,5,,,
B.10.41.121a,,Each,,8568,20,5,16192.8,20,5,,,,,,
B.10.41.121b,,Each,,8568,20,5,16192.8,20,5,,,,,,
B.10.41.122a,,Each,,8568,20,5,16592.8,20,5,,,,,,
B.10.41.122b,,Each,,8568,20,5,16592.8,20,5,,,,,,
B.10.41.123a,,Each,,8568,20,5,16592.8,20,5,,,,,,
B.10.41.123b,,Each,,8568,20,5,16592.8,20,5,,,,,,
