,,,,DS1,,,DS2,,,DS3,,,DS4,,
B.10.41.131a,,Each,,8568,20,5,16192.8,20,5,,,,,,
B.10.41.131b,,Each,,8568,20,5,16192.8,20,5,,,,,,
B.10.41.132a,,Each,,8568,20,5,16592.8,20,5,,,,,,
B.10.41.132b,,Each,,8568,20,5,16592.8,20,5,,,,,,
B.10.41.133a,,Each,,8568,20,5,16592.8,20,5,,,,,,
B.10.41.133b,,Each,,8568,20,5,16592.8,20,5,,,,,,
B.10.42.001a,Concrete link beam,Each,"20,000",5162.4,20,5,11376,20,5,17756,20,5,,,
B.10.42.001b,,Each,?,4231.2,20,5,11136,20,5,16628,20,5,,,
B.10.42.002a,,Each,,5162.4,20,5,11376,20,5,17756,20,5,,,
B.10.42.002b,,Each,,4231.2,20,5,11136,20,5,16628,20,5,,,
B.10.42.011a,,Each,,5162.4,20,5,11776,20,5,18156,20,5,,,
B.10.42.011b,,Each,,4231.2,20,5,11536,20,5,17028,20,5,,,
B.10.42.012a,,Each,,5162.4,20,5,11776,20,5,18156,20,5,,,
B.10.42.012b,,Each,,4231.2,20,5,11536,20,5,17028,20,5,,,
B.10.42.021a,,Each,,5162.4,20,5,11776,20,5,18556,20,5,,,
B.10.42.021b,,Each,,4231.2,20,5,11536,20,5,17428,20,5,,,
B.10.42.022a,,Each,,5162.4,20,5,11776,20,5,18556,20,5,,,
B.10.42.022b,,Each,,4231.2,20,5,11536,20,5,17428,20,5,,,
B.10.44.001,Concrete wall,144 ft^2 Units,?,2073.6,7,3,4892.8,7,3,9166.1,7,3,,,
B.10.44.002,,400 ft^2 Units,,6560,7,3,14864,7,3,24136,7,3,,,
B.10.44.003,,900 ft^2 Units,,13680,7,3,31619.9,7,3,47510,7,3,,,
B.10.44.011,,144 ft^2 Units,,2419.2,7,3,6243.8,7,3,11662.1,7,3,,,
B.10.44.012,,400 ft^2 Units,,7520,7,3,17000,7,3,30288,7,3,,,
B.10.44.013,,900 ft^2 Units,,15840,7,3,36421.9,7,3,58968,7,3,,,
B.10.44.021,,144 ft^2 Units,,3283.2,7,3,7538.7,7,3,14745.6,7,3,,,
B.10.44.022,,400 ft^2 Units,,9920,7,3,20600,7,3,38920,7,3,,,
B.10.44.023,,900 ft^2 Units,,21240,7,3,44518.9,7,3,75558,7,3,,,
B.10.44.031,RC wall,144 ft^2 Units,?,5384.3,7,3,9166.1,7,3,,,,,,
B.10.44.032,,400 ft^2 Units,,14608,7,3,24136,7,3,,,,,,
B.10.44.033,,900 ft^2 Units,,31043.9,7,3,47510,7,3,,,,,,
B.10.44.041,,144 ft^2 Units,,6128.6,7,3,11662.1,7,3,,,,,,
B.10.44.042,,400 ft^2 Units,,16680,7,3,31056,7,3,,,,,,
B.10.44.043,,900 ft^2 Units,,35701.9,7,3,60696,7,3,,,,,,
B.10.44.051,,144 ft^2 Units,,6128.6,7,3,12053.8,7,3,,,,,,
B.10.44.052,,400 ft^2 Units,,20120,7,3,39688,7,3,,,,,,
B.10.44.053,,900 ft^2 Units,,43438.9,7,3,77286,7,3,,,,,,
B.10.44.061,,144 ft^2 Units,,5384.3,7,3,9166.1,7,3,,,,,,
B.10.44.062,,400 ft^2 Units,,14608,7,3,24136,7,3,,,,,,
B.10.44.063,,900 ft^2 Units,,31043.9,7,3,47510,7,3,,,,,,
B.10.44.071,,144 ft^2 Units,,6128.6,7,3,12053.8,7,3,,,,,,
B.10.44.072,,400 ft^2 Units,,16680,7,3,31056,7,3,,,,,,
B.10.44.073,,900 ft^2 Units,,35701.9,7,3,60696,7,3,,,,,,
B.10.44.081,,144 ft^2 Units,,7365.9,7,3,14215.7,7,3,,,,,,
B.10.44.082,,400 ft^2 Units,,20120,7,3,39688,7,3,,,,,,
B.10.44.083,,900 ft^2 Units,,43438.9,7,3,77286,7,3,,,,,,
B.10.44.091,Slender concrete wall,144 ft^2 Units,,2262.4,7,3,8544.6,7,3,16243.2,7,3,,,
B.10.44.092,,144 ft^2 Units,,2102.4,7,3,6848.6,7,3,15688.8,7,3,,,
B.10.44.093,,144 ft^2 Units,,1942.4,7,3,4672.64,7,3,15134.4,7,3,,,
B.10.44.101,,144 ft^2 Units,,3472,7,3,11993.6,7,3,17827.2,7,3,,,
B.10.44.102,,144 ft^2 Units,,3312,7,3,9768,7,3,17272.8,7,3,,,
B.10.44.103,,144 ft^2 Units,,3152,7,3,7542.4,7,3,,,,,,
B.10.44.111,,144 ft^2 Units,,5200,7,3,17280,7,3,21043.2,7,3,,,
B.10.44.112,,144 ft^2 Units,,5040,7,3,14208,7,3,20476.8,7,3,,,
B.10.44.113,,144 ft^2 Units,,4880,7,3,11136,7,3,19934.4,7,3,,,
B.10.49.001a,RC Slab-column connection,Each,"50,000",14492,7,3,19816,7,3,,,,,,
B.10.49.001b,,Each,always max?,14492,7,3,16092,7,3,,,,,,
B.10.49.002a,,Each,,14492,7,3,19816,7,3,,,,,,
B.10.49.002b,,Each,,14492,7,3,16092,7,3,,,,,,
B.10.49.003a,,Each,,14732,7,3,19816,7,3,,,,,,
B.10.49.003b,,Each,,14732,7,3,16332,7,3,,,,,,
B.10.49.011,,Each,,14972,7,3,16572,7,3,,,,,,
B.10.49.012,,Each,,15212,7,3,16812,7,3,,,,,,
B.10.49.021a,,Each,,14252,7,3,19816,7,3,,,,,,
B.10.49.021b,,Each,,14252,7,3,15852,7,3,,,,,,
B.10.49.022a,,Each,,14492,7,3,19816,7,3,,,,,,
B.10.49.022b,,Each,,14492,7,3,16092,7,3,,,,,,
B.10.49.031,,Each,,14572,7,3,16172,7,3,,,,,,
B.10.49.032,,Each,,14812,7,3,16412,7,3,,,,,,
B.10.49.041a,,Each,,14492,7,3,19816,7,3,,,,,,
B.10.49.041b,,Each,,14492,7,3,16092,7,3,,,,,,
B.10.49.042a,,Each,,14732,7,3,19816,7,3,,,,,,
B.10.49.042b,,Each,,14732,7,3,16332,7,3,,,,,,
B.10.51.001,"Ord. reinf. masonry walls
limits change due to block size",100 ft^2 Units,"30,000",1680,30,2,2400,30,2,,,,,,
B.10.51.002,,225 ft^2 Units,,3280,14,1,4950,14,1,,,,,,
B.10.51.003,,100 ft^2 Units,,240,30,2,1680,30,2,2400,30,2,,,
B.10.51.004,,225 ft^2 Units,,540,14,1,3280,14,1,4950,14,1,,,
B.10.51.011,,100 ft^2 Units,,1740,30,2,3053.33,30,2,,,,,,
B.10.51.012,,225 ft^2 Units,,3415,14,1,6320,14,1,,,,,,
B.10.51.013,,100 ft^2 Units,,240,30,2,1740,30,2,3053.33,30,2,,,
B.10.51.014,,225 ft^2 Units,,540,14,1,3415,14,1,6320,14,1,,,
B.10.51.021,,100 ft^2 Units,,2700,30,2,3810,30,2,,,,,,
B.10.51.022,,225 ft^2 Units,,5175,14,1,7841.3,14,1,,,,,,
B.10.51.023,,100 ft^2 Units,,360,30,2,2025,30,2,3810,30,2,,,
B.10.51.024,,225 ft^2 Units,,810,14,1,3881.25,14,1,7841.3,14,1,,,
B.10.52.001,,100 ft^2 Units,,2370,30,2,3525,30,2,,,,,,
B.10.52.002,,225 ft^2 Units,,4582.5,14,1,7312.5,14,1,,,,,,
B.10.52.003,,100 ft^2 Units,,420,30,2,2567.5,30,2,5091.67,30,2,,,
B.10.52.004,,225 ft^2 Units,,945,14,1,4964.33,14,1,10562.5,14,1,,,
B.10.52.011,,100 ft^2 Units,,2870,30,2,5698.33,30,2,,,,,,
B.10.52.012,,225 ft^2 Units,,5582.5,14,1,11765,14,1,,,,,,
B.10.52.013,,100 ft^2 Units,,420,30,2,2665,30,2,5698.33,30,2,,,
B.10.52.014,,225 ft^2 Units,,945,14,1,5183.75,14,1,11765,14,1,,,
B.10.61.001a,Cold formed steel walls,100 ft^2 Units,?,2135,30,2,2275,30,2,2925,30,2,,,
B.10.61.001b,,100 ft^2 Units,,1534.17,30,2,2486.25,30,2,3493.75,30,2,,,
B.10.61.011a,,100 ft^2 Units,,1558.34,6,2,1321.25,6,2,,,,,,
B.10.61.011b,,100 ft^2 Units,,1537.5,8,3,1720.83,8,3,,,,,,
B.10.61.021a,,100 ft^2 Units,,1525,11,4,1452.5,11,4,,,,,,
B.10.61.021b,,100 ft^2 Units,,1154.16,6,2,1671.25,6,2,,,,,,
B.10.71.001,Light-framed wood walls,100 ft^2 Units,always max?,820.84,8,3,749.58,8,3,1881.25,8,3,,,
B.10.71.002,,100 ft^2 Units,,820.84,8,3,749.58,8,3,1881.25,8,3,,,
B.10.71.011,,100 ft^2 Units,,1150,6,2,962.5,6,2,1575,6,2,,,
B.10.71.012,,100 ft^2 Units,,1150,6,2,962.5,6,2,1575,6,2,,,
B.10.71.031,wood walls,100 ft^2 Units,,2370.84,11,4,,,,,,,,,
B.10.71.041,exterior gypsum with wood studs,Each (13'x100' Panel),,3038,10,1,7770,10,1,26320,10,1,,,
B.20.11.001a,Exterior cold formed steel,100 ft^2 Units,,1525,30,6,1225,30,6,1575,30,6,,,
B.20.11.001b,,100 ft^2 Units,,1095.84,30,6,1338.75,30,6,1881.25,30,6,,,
B.20.11.011a,,100 ft^2 Units,,1558.34,6,2,1321.25,6,2,,,,,,
B.20.11.011b,,100 ft^2 Units,,1537.5,8,3,1720.83,8,3,,,,,,
B.20.11.021a,,100 ft^2 Units,,1525,11,4,1452.5,11,4,,,,,,
B.20.11.021b,,100 ft^2 Units,,1154.16,6,2,1671.25,6,2,,,,,,
B.20.11.101,Exterior light framed wood wall,100 ft^2 Units,,1150,8,3,962.5,8,3,1575,8,3,,,
B.20.11.102,,100 ft^2 Units,,820.84,11,4,749.58,11,4,1680,11,4,,,
B.20.11.111,,100 ft^2 Units,,1150,6,2,962.5,6,2,1575,6,2,,,
B.20.11.121,,100 ft^2 Units,,820.84,8,3,749.58,8,3,1881.25,8,3,,,
B.20.11.131,,100 ft^2 Units,,2370.84,11,4,,,,,,,,,
B.20.11.201a,Precast concrete panels,390 ft^2 Units,,6335.5,8,2,31677.5,8,2,,,,,,
B.20.11.201b,,390 ft^2 Units,,31677.5,8,2,,,,,,,,,
B.20.22.001,Curtain walls,Each (5'x6' Panel),,959,100,20,959,100,20,,,,,,
B.20.22.002,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.22.011,,Each (5'x6' Panel),,959,100,20,1379,100,20,689.5,100,20,,,
B.20.22.021,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.22.022,,Each (5'x6' Panel),,959,100,20,959,100,20,,,,,,
B.20.22.023,,Each (5'x6' Panel),,959,100,20,959,100,20,,,,,,
B.20.22.031,,Each (5'x6' Panel),,959,100,20,959,100,20,,,,,,
B.20.22.032,,Each (5'x6' Panel),,959,100,20,959,100,20,,,,,,
B.20.22.033,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.22.034,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.22.035,,Each (4'x8' Panel),,2206.4,63,13,2206.4,63,13,,,,,,
B.20.22.036,,Each (4'x8' Panel),,2206.4,63,13,2206.4,63,13,,,,,,
B.20.22.037,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.22.038,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.22.039,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.22.040,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.22.041,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.22.051,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.22.052,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.22.053,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.22.054,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.22.061,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
B.20.22.071,,Each (5'x6' Panel),,959,100,20,1379,100,20,689.5,100,20,,,
B.20.22.072,,Each (5'x6' Panel),,959,100,20,1379,100,20,689.5,100,20,,,
B.20.22.081,,Each (5'x6' Panel),,1379,100,20,1379,100,20,,,,,,
