dd	EDSS.0.0	EDSS.1.0	EDSS.1.5	EDSS.2.0	EDSS.2.5	EDSS.3.0	EDSS.3.5	EDSS.4.0	EDSS.4.5	EDSS.5.0	EDSS.5.5	EDSS.6.0	EDSS.6.5	EDSS.7.0	EDSS.7.5	EDSS.8.0	EDSS.8.5	EDSS.9.0	EDSS.9.5
dd1	0.91	2.83	4.31	5.58	6.79	7.58	8.22	8.64	8.88	9.03	9.17	9.46	9.78	9.9	9.93	9.97	9.99	9.99	10
dd2	0.86	2.71	4.18	5.45	6.61	7.4	8.05	8.5	8.77	8.93	9.07	9.38	9.74	9.88	9.93	9.96	9.99	9.99	10
dd3	0.8	2.55	3.98	5.23	6.37	7.16	7.85	8.32	8.61	8.77	8.93	9.27	9.67	9.84	9.91	9.95	9.98	9.99	10
dd4	0.7	2.29	3.65	4.84	5.93	6.73	7.45	7.97	8.29	8.48	8.66	9.07	9.57	9.78	9.87	9.93	9.97	9.99	10
dd5	0.64	2.09	3.36	4.51	5.57	6.35	7.06	7.59	7.95	8.17	8.41	8.87	9.43	9.7	9.81	9.9	9.97	9.99	10
dd6	0.56	1.88	3.09	4.21	5.26	6.08	6.82	7.36	7.7	7.92	8.17	8.69	9.31	9.61	9.75	9.87	9.95	9.98	10
dd7	0.49	1.67	2.8	3.9	4.93	5.75	6.51	7.07	7.4	7.65	7.92	8.48	9.17	9.53	9.7	9.85	9.94	9.97	9.99
dd8	0.46	1.55	2.58	3.62	4.65	5.46	6.19	6.75	7.1	7.38	7.69	8.29	9.04	9.44	9.63	9.81	9.92	9.96	9.99
dd9	0.43	1.44	2.41	3.41	4.43	5.23	5.96	6.53	6.89	7.17	7.48	8.08	8.87	9.33	9.56	9.77	9.9	9.95	9.99
dd10	0.36	1.28	2.19	3.13	4.11	4.92	5.69	6.26	6.62	6.91	7.21	7.83	8.69	9.21	9.48	9.72	9.88	9.94	9.98
dd11	0.33	1.18	2.05	2.97	3.92	4.72	5.46	6.06	6.46	6.78	7.09	7.71	8.6	9.15	9.43	9.69	9.88	9.95	9.98
dd12	0.31	1.11	1.93	2.79	3.72	4.51	5.23	5.82	6.24	6.58	6.92	7.57	8.5	9.07	9.36	9.64	9.86	9.94	9.98
dd13	0.27	1.02	1.83	2.66	3.54	4.35	5.07	5.67	6.09	6.42	6.74	7.41	8.35	8.96	9.29	9.61	9.85	9.94	9.99
dd14	0.24	0.92	1.68	2.48	3.34	4.13	4.87	5.51	5.96	6.3	6.64	7.34	8.32	8.93	9.26	9.59	9.84	9.94	9.99
dd15	0.23	0.85	1.54	2.3	3.13	3.91	4.64	5.29	5.79	6.16	6.51	7.23	8.25	8.89	9.22	9.55	9.81	9.93	9.99
dd16	0.21	0.77	1.39	2.1	2.85	3.57	4.29	4.92	5.42	5.8	6.16	6.96	8.06	8.73	9.1	9.49	9.78	9.92	9.99
dd17	0.19	0.72	1.3	1.95	2.66	3.39	4.14	4.79	5.26	5.62	5.97	6.79	7.95	8.63	9.02	9.44	9.77	9.91	9.99
dd18	0.2	0.7	1.22	1.84	2.53	3.23	3.95	4.58	5.04	5.41	5.75	6.59	7.81	8.53	8.91	9.37	9.75	9.91	9.99
dd19	0.18	0.66	1.18	1.77	2.41	3.1	3.8	4.36	4.79	5.16	5.52	6.37	7.61	8.37	8.79	9.3	9.72	9.89	9.98
dd20	0.15	0.62	1.15	1.72	2.34	3	3.69	4.25	4.63	4.96	5.32	6.2	7.45	8.22	8.67	9.22	9.67	9.87	9.98
dd21	0.14	0.57	1.05	1.61	2.25	2.91	3.59	4.15	4.53	4.85	5.2	6.04	7.3	8.1	8.53	9.13	9.64	9.85	9.97
dd22	0.14	0.54	0.97	1.51	2.12	2.74	3.39	3.93	4.33	4.65	5.02	5.87	7.13	7.95	8.43	9.05	9.6	9.84	9.97
dd23	0.12	0.49	0.89	1.41	1.99	2.58	3.24	3.84	4.25	4.55	4.89	5.78	7.07	7.89	8.36	9	9.56	9.81	9.96
dd24	0.11	0.44	0.78	1.29	1.86	2.45	3.12	3.72	4.15	4.44	4.76	5.65	6.98	7.81	8.27	8.91	9.49	9.77	9.95
dd25	0.09	0.38	0.72	1.21	1.79	2.37	3.04	3.65	4.07	4.37	4.66	5.54	6.9	7.76	8.25	8.92	9.51	9.79	9.95
dd26	0.08	0.37	0.72	1.18	1.71	2.3	2.99	3.61	4.04	4.36	4.7	5.58	6.92	7.8	8.31	8.93	9.49	9.79	9.96
dd27	0.07	0.35	0.69	1.13	1.64	2.21	2.86	3.45	3.86	4.21	4.59	5.45	6.79	7.71	8.24	8.89	9.49	9.78	9.96
dd28	0.06	0.29	0.57	0.93	1.34	1.81	2.38	2.91	3.29	3.62	4	4.86	6.26	7.33	8	8.79	9.46	9.79	9.97
dd29	0.06	0.28	0.56	0.91	1.3	1.76	2.3	2.82	3.2	3.53	3.91	4.77	6.19	7.28	7.97	8.78	9.47	9.8	9.97
dd30	0.07	0.29	0.56	0.89	1.26	1.7	2.23	2.75	3.12	3.46	3.86	4.72	6.14	7.23	7.92	8.75	9.45	9.79	9.97
